       • examples/react/CheckboxWithLabel.js
       • e2e/resolve-async/some-other-file.js
       • e2e/require-main-after-create-require/empty.js
       • e2e/native-esm/reexport.js
       • e2e/native-esm/dynamicImport.js

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • yarn.config.cjs
       • jest.config.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js
       • scripts/watch.mjs
       • scripts/verifyPnP.mjs
       • scripts/verifyOldTs.mjs
     📄 Files WITHOUT CallExpression (showing 10):
       • jest.config.ts.mjs
       • jest.config.ci.mjs
       • website/i18n.js
       • examples/typescript/utils.ts
       • examples/typescript/sum.ts
       • examples/typescript/sum.js
       • examples/typescript/Memory.ts
       • examples/snapshot/Link.js
       • examples/snapshot/Clock.js
       • examples/react-testing-library/CheckboxWithLabel.js

   Literal:
     📄 Files WITH Literal (showing 10):
       • yarn.config.cjs
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js
     📄 Files WITHOUT Literal (showing 10):
       • examples/typescript/sum.ts
       • examples/typescript/sum.js
       • examples/snapshot/Link.js
       • examples/snapshot/Clock.js
       • examples/react-testing-library/CheckboxWithLabel.js
       • examples/react-native/index.js
       • examples/react-native/Intro.js
       • examples/react/CheckboxWithLabel.js
       • examples/getting-started/sum.js
       • e2e/typescript-coverage/covered.ts

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • yarn.config.cjs
       • jest.config.ts.mjs
       • jest.config.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js
       • scripts/watch.mjs
     📄 Files WITHOUT MemberExpression (showing 10):
       • jest.config.ci.mjs
       • examples/typescript/sum.ts
       • examples/typescript/sub.ts
       • examples/typescript/CheckboxWithLabel.tsx
       • examples/snapshot/Link.js
