AST Analysis Report for TypeScript
Generated on: 2025-07-14T01:57:25.419Z
Repository: sample-repos/TypeScript
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/TypeScript

📁 Found 37995 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 37995
   Successfully parsed: 37994
   Failed to parse: 1
   Total file size: 136.4 MB

🌳 NODE STATISTICS:
   Total nodes: 4,243,595
   Average nodes per file: 112
   Average file size: 3.7 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        37994 files (100.0%) -   37,994 total (0.90%)
   Identifier                     23628 files ( 62.2%) - 1,454,170 total (34.27%)
   Literal                        17545 files ( 46.2%) -  340,979 total (8.04%)
   ExpressionStatement            14299 files ( 37.6%) -  137,206 total (3.23%)
   MemberExpression               13514 files ( 35.6%) -  257,153 total (6.06%)
   CallExpression                 13484 files ( 35.5%) -  149,704 total (3.53%)
   VariableDeclaration            12494 files ( 32.9%) -  100,104 total (2.36%)
   VariableDeclarator             12494 files ( 32.9%) -  103,050 total (2.43%)
   BlockStatement                 10143 files ( 26.7%) -   95,724 total (2.26%)
   TSTypeAnnotation               8570 files ( 22.6%) -  214,270 total (5.05%)
   MetaProperty                        152 (0.00%) in 17 files (0.0%)
   TSAbstractMethodDefinition          135 (0.00%) in 49 files (0.1%)
   TSSatisfiesExpression                93 (0.00%) in 37 files (0.1%)
   TSImportType                         92 (0.00%) in 44 files (0.1%)
   TSOptionalType                       89 (0.00%) in 26 files (0.1%)
   JSXFragment                          64 (0.00%) in 25 files (0.1%)
   JSXOpeningFragment                   64 (0.00%) in 25 files (0.1%)
   JSXClosingFragment                   64 (0.00%) in 25 files (0.1%)
   TSInstantiationExpression            57 (0.00%) in 8 files (0.0%)
   TSNamespaceExportDeclaration         46 (0.00%) in 40 files (0.1%)
   WithStatement                        43 (0.00%) in 30 files (0.1%)
   JSXNamespacedName                    39 (0.00%) in 7 files (0.0%)
   ImportAttribute                      38 (0.00%) in 15 files (0.0%)
   TSAbstractPropertyDefinition         37 (0.00%) in 19 files (0.1%)
   DebuggerStatement                    34 (0.00%) in 22 files (0.1%)
   TSJSDocNullableType                  32 (0.00%) in 4 files (0.0%)
   JSXMemberExpression                  30 (0.00%) in 14 files (0.0%)
   JSXEmptyExpression                   26 (0.00%) in 8 files (0.0%)
   TSJSDocNonNullableType               12 (0.00%) in 1 files (0.0%)
   TSIntrinsicKeyword                    9 (0.00%) in 4 files (0.0%)
   JSXSpreadChild                        6 (0.00%) in 3 files (0.0%)
   TSAbstractAccessorProperty            5 (0.00%) in 3 files (0.0%)
   TSJSDocUnknownType                    4 (0.00%) in 1 files (0.0%)
   Hashbang                              1 (0.00%) in 1 files (0.0%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • eslint.config.mjs
       • Herebyfile.mjs
       • scripts/run-sequence.mjs
       • scripts/regenerate-unicode-identifier-parts.mjs
       • scripts/produceLKG.mjs
       • scripts/processDiagnosticMessages.mjs
       • scripts/post-vsts-artifact-comment.mjs
       • scripts/link-hooks.mjs
       • scripts/generateLocalizedDiagnosticMessages.mjs
       • scripts/find-unused-diganostic-messages.mjs
     📄 Files WITHOUT Identifier (showing 10):
       • src/testRunner/tests.ts
       • src/lib/header.d.ts
       • src/lib/esnext.full.d.ts
       • src/lib/esnext.d.ts
       • src/lib/es5.full.d.ts
       • src/lib/es2024.full.d.ts
