AST Analysis Report for tailwindcss
Generated on: 2025-07-14T02:08:15.160Z
Repository: sample-repos/tailwindcss
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/tailwindcss

📁 Found 309 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 309
   Successfully parsed: 309
   Failed to parse: 0
   Total file size: 2.9 MB

🌳 NODE STATISTICS:
   Total nodes: 225,981
   Average nodes per file: 731
   Average file size: 9.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   JSXEmptyExpression                         2 ( 0.00%) in      2 files (  0.6%)
   JSXMemberExpression                        2 ( 0.00%) in      1 files (  0.3%)
   TSTypePredicate                            2 ( 0.00%) in      2 files (  0.6%)
   TSMappedType                               2 ( 0.00%) in      2 files (  0.6%)
   EmptyStatement                             1 ( 0.00%) in      1 files (  0.3%)
   TSClassImplements                          1 ( 0.00%) in      1 files (  0.3%)
   TSInterfaceHeritage                        1 ( 0.00%) in      1 files (  0.3%)
   TSCallSignatureDeclaration                 1 ( 0.00%) in      1 files (  0.3%)
   TSInferType                                1 ( 0.00%) in      1 files (  0.3%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
     📄 Files WITHOUT Identifier (showing 2):
       • vitest.workspace.ts
       • packages/tailwindcss/src/property-order.ts

   Literal:
     📄 Files WITH Literal (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
     📄 Files WITHOUT Literal (showing 8):
       • playgrounds/nextjs/next.config.mjs
       • playgrounds/v3/postcss.config.js
       • playgrounds/v3/next.config.mjs
       • packages/@tailwindcss-browser/src/instrumentation.ts
       • packages/tailwindcss/src/source-maps/source.ts
       • packages/tailwindcss/src/utils/default-map.ts
       • packages/@tailwindcss-upgrade/src/utils/types.ts
       • packages/@tailwindcss-upgrade/src/utils/replace-object.ts

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
     📄 Files WITHOUT CallExpression (showing 10):
       • vitest.workspace.ts
       • playgrounds/nextjs/postcss.config.js
       • playgrounds/nextjs/next.config.mjs
       • playgrounds/v3/tailwind.config.js
       • playgrounds/v3/postcss.config.js
       • playgrounds/v3/next.config.mjs
       • packages/tailwindcss/src/property-order.ts
       • packages/tailwindcss/src/node.d.ts
       • packages/@tailwindcss-standalone/src/types.d.ts
       • packages/@tailwindcss-browser/src/types.d.ts

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
