AST Analysis Report for swc
Generated on: 2025-07-14T02:08:14.847Z
Repository: sample-repos/swc
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/swc

📁 Found 32352 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 32352
   Successfully parsed: 32351
   Failed to parse: 1
   Total file size: 80.6 MB

🌳 NODE STATISTICS:
   Total nodes: 9,205,843
   Average nodes per file: 285
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                         32351 files (100.0%) -        32,351 total ( 0.35%)
   Identifier                      27395 files ( 84.7%) -     3,602,763 total (39.14%)
   Literal                         22070 files ( 68.2%) -       663,203 total ( 7.20%)
   ExpressionStatement             20357 files ( 62.9%) -       316,847 total ( 3.44%)
   BlockStatement                  17414 files ( 53.8%) -       312,799 total ( 3.40%)
   CallExpression                  16691 files ( 51.6%) -       508,424 total ( 5.52%)
   VariableDeclaration             16592 files ( 51.3%) -       227,461 total ( 2.47%)
   VariableDeclarator              16592 files ( 51.3%) -       285,766 total ( 3.10%)
   MemberExpression                15061 files ( 46.6%) -       797,746 total ( 8.67%)
   FunctionExpression              10511 files ( 32.5%) -        91,288 total ( 0.99%)
   AssignmentExpression             8503 files ( 26.3%) -       208,911 total ( 2.27%)
   FunctionDeclaration              8275 files ( 25.6%) -        62,733 total ( 0.68%)
   TSModuleBlock                          1,105 ( 0.01%) in    544 files (  1.7%)
   TSQualifiedName                        1,003 ( 0.01%) in    197 files (  0.6%)
   StaticBlock                              998 ( 0.01%) in    269 files (  0.8%)
   ImportDefaultSpecifier                   955 ( 0.01%) in    284 files (  0.9%)
   ExportDefaultDeclaration                 954 ( 0.01%) in    563 files (  1.7%)
   TSConditionalType                        862 ( 0.01%) in     62 files (  0.2%)
   TSConstructSignatureDeclaration           862 ( 0.01%) in    117 files (  0.4%)
   DoWhileStatement                         747 ( 0.01%) in    289 files (  0.9%)
   TaggedTemplateExpression                 746 ( 0.01%) in    231 files (  0.7%)
   TSCallSignatureDeclaration               746 ( 0.01%) in    168 files (  0.5%)
   LabeledStatement                         668 ( 0.01%) in    337 files (  1.0%)
   TSConstructorType                        641 ( 0.01%) in     60 files (  0.2%)
   TSEnumDeclaration                        560 ( 0.01%) in    232 files (  0.7%)
   TSEnumBody                               560 ( 0.01%) in    232 files (  0.7%)
   TSNeverKeyword                           547 ( 0.01%) in     79 files (  0.2%)
   TSSymbolKeyword                          527 ( 0.01%) in     59 files (  0.2%)
   TSInferType                              524 ( 0.01%) in     30 files (  0.1%)
   TSEmptyBodyFunctionExpression            519 ( 0.01%) in    153 files (  0.5%)
   TSParameterProperty                      500 ( 0.01%) in    138 files (  0.4%)
   ImportExpression                         421 ( 0.00%) in    156 files (  0.5%)
   TSMappedType                             406 ( 0.00%) in     70 files (  0.2%)
   TSTemplateLiteralType                    394 ( 0.00%) in     29 files (  0.1%)
   TSTypePredicate                          347 ( 0.00%) in     74 files (  0.2%)
   JSXSpreadAttribute                       346 ( 0.00%) in     68 files (  0.2%)
   TSTypeAssertion                          334 ( 0.00%) in     99 files (  0.3%)
   TSObjectKeyword                          319 ( 0.00%) in     74 files (  0.2%)
   ImportNamespaceSpecifier                 292 ( 0.00%) in    221 files (  0.7%)
   AccessorProperty                         285 ( 0.00%) in    111 files (  0.3%)
   TSThisType                               268 ( 0.00%) in     55 files (  0.2%)
   ExportAllDeclaration                     256 ( 0.00%) in    152 files (  0.5%)
   TSImportEqualsDeclaration                248 ( 0.00%) in    176 files (  0.5%)
   JSXFragment                              230 ( 0.00%) in     21 files (  0.1%)
   JSXOpeningFragment                       230 ( 0.00%) in     21 files (  0.1%)
   JSXClosingFragment                       230 ( 0.00%) in     21 files (  0.1%)
   TSExternalModuleReference                183 ( 0.00%) in    145 files (  0.4%)
   TSClassImplements                        175 ( 0.00%) in    108 files (  0.3%)
   MetaProperty                             169 ( 0.00%) in     97 files (  0.3%)
   TSRestType                               160 ( 0.00%) in     24 files (  0.1%)
   TSSatisfiesExpression                    151 ( 0.00%) in     17 files (  0.1%)
   WithStatement                            127 ( 0.00%) in    123 files (  0.4%)
   TSNamedTupleMember                       124 ( 0.00%) in     12 files (  0.0%)
   TSInstantiationExpression                120 ( 0.00%) in     14 files (  0.0%)
   ImportAttribute                          112 ( 0.00%) in     77 files (  0.2%)
   TSExportAssignment                       103 ( 0.00%) in     65 files (  0.2%)
   JSXEmptyExpression                        75 ( 0.00%) in      7 files (  0.0%)
   JSXMemberExpression                       63 ( 0.00%) in     13 files (  0.0%)
   TSImportType                              50 ( 0.00%) in     22 files (  0.1%)
