AST Analysis Report for ember.js
Generated on: 2025-07-14T02:07:19.851Z
Repository: sample-repos/ember.js
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/ember.js

📁 Found 1077 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1077
   Successfully parsed: 1077
   Failed to parse: 0
   Total file size: 4.5 MB

🌳 NODE STATISTICS:
   Total nodes: 514,961
   Average nodes per file: 478
   Average file size: 4.3 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   PropertyDefinition                     1,913 ( 0.37%) in    280 files ( 26.0%)
   ClassExpression                        1,731 ( 0.34%) in    302 files ( 28.0%)
   UnaryExpression                        1,283 ( 0.25%) in    310 files ( 28.8%)
   ExportNamedDeclaration                 1,150 ( 0.22%) in    252 files ( 23.4%)
   Program                                1,077 ( 0.21%) in   1077 files (100.0%)
   LogicalExpression                      1,044 ( 0.20%) in    235 files ( 21.8%)
   NewExpression                            964 ( 0.19%) in    320 files ( 29.7%)
   FunctionDeclaration                      962 ( 0.19%) in    317 files ( 29.4%)
   TSUnionType                              952 ( 0.18%) in    221 files ( 20.5%)
   AwaitExpression                          868 ( 0.17%) in     89 files (  8.3%)
   ImportDefaultSpecifier                   853 ( 0.17%) in    428 files ( 39.7%)
   TSUnknownKeyword                         818 ( 0.16%) in    187 files ( 17.4%)
   Decorator                                767 ( 0.15%) in    137 files ( 12.7%)
   ClassDeclaration                         761 ( 0.15%) in    329 files ( 30.5%)
   TSPropertySignature                      723 ( 0.14%) in    134 files ( 12.4%)
   TSVoidKeyword                            620 ( 0.12%) in    157 files ( 14.6%)
   TSBooleanKeyword                         594 ( 0.12%) in    168 files ( 15.6%)
   TSNumberKeyword                          577 ( 0.11%) in     91 files (  8.4%)
   SpreadElement                            561 ( 0.11%) in    152 files ( 14.1%)
   ParenthesizedExpression                  547 ( 0.11%) in    203 files ( 18.8%)
   TSAsExpression                           529 ( 0.10%) in    171 files ( 15.9%)
   ExportSpecifier                          511 ( 0.10%) in     76 files (  7.1%)
   TSTypeParameter                          506 ( 0.10%) in     88 files (  8.2%)
   TSArrayType                              501 ( 0.10%) in    119 files ( 11.0%)
   Super                                    476 ( 0.09%) in    150 files ( 13.9%)
   UpdateExpression                         442 ( 0.09%) in    132 files ( 12.3%)
   TSUndefinedKeyword                       420 ( 0.08%) in    140 files ( 13.0%)
   TSAnyKeyword                             391 ( 0.08%) in     96 files (  8.9%)
   TSTypeParameterDeclaration               389 ( 0.08%) in     88 files (  8.2%)
   TSObjectKeyword                          385 ( 0.07%) in    110 files ( 10.2%)
   TSLiteralType                            382 ( 0.07%) in     86 files (  8.0%)
   TSFunctionType                           351 ( 0.07%) in    111 files ( 10.3%)
   ObjectPattern                            344 ( 0.07%) in    153 files ( 14.2%)
   TSNonNullExpression                      323 ( 0.06%) in     67 files (  6.2%)
   TSTypeLiteral                            304 ( 0.06%) in     97 files (  9.0%)
   ImportNamespaceSpecifier                 301 ( 0.06%) in     21 files (  1.9%)
   TSNullKeyword                            254 ( 0.05%) in     89 files (  8.3%)
   TaggedTemplateExpression                 247 ( 0.05%) in     37 files (  3.4%)
   RestElement                              238 ( 0.05%) in     71 files (  6.6%)
   TSIndexedAccessType                      233 ( 0.05%) in     64 files (  5.9%)
   ConditionalExpression                    221 ( 0.04%) in    116 files ( 10.8%)
   TSMethodSignature                        218 ( 0.04%) in     44 files (  4.1%)
   TSInterfaceDeclaration                   215 ( 0.04%) in    119 files ( 11.0%)
   TSInterfaceBody                          215 ( 0.04%) in    119 files ( 11.0%)
   ExportDefaultDeclaration                 212 ( 0.04%) in    210 files ( 19.5%)
   ThrowStatement                           193 ( 0.04%) in     81 files (  7.5%)
   TSTypeAliasDeclaration                   184 ( 0.04%) in     62 files (  5.8%)
   AssignmentPattern                        163 ( 0.03%) in     74 files (  6.9%)
   TSTupleType                              141 ( 0.03%) in     46 files (  4.3%)
   TSThisType                               138 ( 0.03%) in     22 files (  2.0%)
   TSQualifiedName                          134 ( 0.03%) in     39 files (  3.6%)
   TSTypeOperator                           115 ( 0.02%) in     40 files (  3.7%)
   TSTypeQuery                              114 ( 0.02%) in     55 files (  5.1%)
   ArrayPattern                             108 ( 0.02%) in     56 files (  5.2%)
   TSDeclareFunction                        104 ( 0.02%) in     28 files (  2.6%)
   ChainExpression                           91 ( 0.02%) in     42 files (  3.9%)
   ForOfStatement                            89 ( 0.02%) in     42 files (  3.9%)
   TSInterfaceHeritage                       88 ( 0.02%) in     44 files (  4.1%)
   ForStatement                              85 ( 0.02%) in     56 files (  5.2%)
   TryStatement                              79 ( 0.02%) in     52 files (  4.8%)
   TSParenthesizedType                       72 ( 0.01%) in     39 files (  3.6%)
   TSNamedTupleMember                        66 ( 0.01%) in     17 files (  1.6%)
   TSIntersectionType                        60 ( 0.01%) in     37 files (  3.4%)
   TSTypePredicate                           60 ( 0.01%) in     44 files (  4.1%)
   SwitchCase                                58 ( 0.01%) in     11 files (  1.0%)
   TSEmptyBodyFunctionExpression             57 ( 0.01%) in     18 files (  1.7%)
   ForInStatement                            53 ( 0.01%) in     34 files (  3.2%)
   TSIndexSignature                          53 ( 0.01%) in     20 files (  1.9%)
   CatchClause                               52 ( 0.01%) in     37 files (  3.4%)
   TSConditionalType                         51 ( 0.01%) in     11 files (  1.0%)
   TSClassImplements                         47 ( 0.01%) in     28 files (  2.6%)
   TSParameterProperty                       47 ( 0.01%) in     18 files (  1.7%)
   WhileStatement                            37 ( 0.01%) in     24 files (  2.2%)
   BreakStatement                            35 ( 0.01%) in     15 files (  1.4%)
   ContinueStatement                         32 ( 0.01%) in     14 files (  1.3%)
   TSRestType                                29 ( 0.01%) in      9 files (  0.8%)
   TSCallSignatureDeclaration                27 ( 0.01%) in      6 files (  0.6%)
   TSNeverKeyword                            25 ( 0.00%) in     15 files (  1.4%)
   TSSymbolKeyword                           21 ( 0.00%) in     10 files (  0.9%)
   TSModuleDeclaration                       20 ( 0.00%) in     18 files (  1.7%)
   TSModuleBlock                             20 ( 0.00%) in     18 files (  1.7%)
   TSInferType                               19 ( 0.00%) in      6 files (  0.6%)
   ImportExpression                          13 ( 0.00%) in      3 files (  0.3%)
   MetaProperty                              12 ( 0.00%) in      8 files (  0.7%)
   SwitchStatement                           12 ( 0.00%) in     11 files (  1.0%)
   ExportAllDeclaration                      11 ( 0.00%) in     10 files (  0.9%)
   TSMappedType                              11 ( 0.00%) in      5 files (  0.5%)
   PrivateIdentifier                          7 ( 0.00%) in      1 files (  0.1%)
   StaticBlock                                7 ( 0.00%) in      3 files (  0.3%)
   TSConstructSignatureDeclaration             6 ( 0.00%) in      6 files (  0.6%)
   TSAbstractMethodDefinition                 6 ( 0.00%) in      3 files (  0.3%)
   TSAbstractPropertyDefinition               5 ( 0.00%) in      4 files (  0.4%)
   YieldExpression                            4 ( 0.00%) in      1 files (  0.1%)
   TSConstructorType                          4 ( 0.00%) in      4 files (  0.4%)
   DoWhileStatement                           3 ( 0.00%) in      3 files (  0.3%)
   TSEnumMember                               3 ( 0.00%) in      1 files (  0.1%)
   Hashbang                                   2 ( 0.00%) in      2 files (  0.2%)
   TSInstantiationExpression                  2 ( 0.00%) in      1 files (  0.1%)
   SequenceExpression                         1 ( 0.00%) in      1 files (  0.1%)
   TSImportEqualsDeclaration                  1 ( 0.00%) in      1 files (  0.1%)
   TSTemplateLiteralType                      1 ( 0.00%) in      1 files (  0.1%)
   TSEnumDeclaration                          1 ( 0.00%) in      1 files (  0.1%)
   TSEnumBody                                 1 ( 0.00%) in      1 files (  0.1%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • vite.config.mjs
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • types/publish.mjs
       • lib/overrides.js
     📄 Files WITHOUT Identifier (showing 10):
       • type-tests/index.d.ts
       • generators/license.js
       • tests/public/testem.js
       • packages/ember/version.ts
       • packages/@ember/template-compiler/runtime.ts
       • packages/@ember/template-compiler/index.ts
       • packages/@ember/template-compiler/-internal-utils.ts
       • packages/@ember/template-compiler/-internal-primitives.ts
       • packages/@ember/engine/parent.ts
       • packages/ember-template-compiler/lib/plugins/utils.ts

   Literal:
     📄 Files WITH Literal (showing 10):
       • vite.config.mjs
       • testem.js
       • testem.ci-browsers.js
       • testem.browserstack.js
       • rollup.config.mjs
       • eslint.config.mjs
       • babel.test.config.mjs
       • babel.config.mjs
       • type-tests/index.d.ts
       • types/publish.mjs
     📄 Files WITHOUT Literal (showing 10):
       • generators/license.js
       • tests/public/testem.js
       • packages/internal-test-helpers/lib/test-context.ts
       • packages/internal-test-helpers/lib/get-text-of.ts
