AST Analysis Report for jotai
Generated on: 2025-07-14T02:34:32.776Z
Repository: sample-repos/jotai
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/jotai

📁 Found 172 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 172
   Successfully parsed: 172
   Failed to parse: 0
   Total file size: 594.8 KB

🌳 NODE STATISTICS:
   Total nodes: 86,914
   Average nodes per file: 505
   Average file size: 3.5 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           172 files (100.0%) -           172 total ( 0.20%)
   ArrayPattern                             338 ( 0.39%) in     45 files ( 26.2%)
   ArrayExpression                          314 ( 0.36%) in     65 files ( 37.8%)
   AssignmentExpression                     305 ( 0.35%) in     60 files ( 34.9%)
   IfStatement                              276 ( 0.32%) in     55 files ( 32.0%)
   NewExpression                            275 ( 0.32%) in     48 files ( 27.9%)
   TemplateElement                          268 ( 0.31%) in     22 files ( 12.8%)
   TSVoidKeyword                            258 ( 0.30%) in     45 files ( 26.2%)
   TSFunctionType                           244 ( 0.28%) in     45 files ( 26.2%)
   TSNumberKeyword                          243 ( 0.28%) in     37 files ( 21.5%)
   JSXFragment                              243 ( 0.28%) in     32 files ( 18.6%)
   JSXOpeningFragment                       243 ( 0.28%) in     32 files ( 18.6%)
   JSXClosingFragment                       243 ( 0.28%) in     32 files ( 18.6%)
   TSPropertySignature                      242 ( 0.28%) in     39 files ( 22.7%)
   TSTypeParameter                          230 ( 0.26%) in     27 files ( 15.7%)
   TemplateLiteral                          204 ( 0.23%) in     22 files ( 12.8%)
   UnaryExpression                          174 ( 0.20%) in     51 files ( 29.7%)
   Program                                  172 ( 0.20%) in    172 files (100.0%)
   ExportNamedDeclaration                   167 ( 0.19%) in     37 files ( 21.5%)
   TSUnionType                              164 ( 0.19%) in     43 files ( 25.0%)
   TSAsExpression                           151 ( 0.17%) in     39 files ( 22.7%)
   TSStringKeyword                          150 ( 0.17%) in     29 files ( 16.9%)
   TSTypeParameterDeclaration               148 ( 0.17%) in     27 files ( 15.7%)
   TSTypeAliasDeclaration                   144 ( 0.17%) in     33 files ( 19.2%)
   TSUnknownKeyword                         143 ( 0.16%) in     31 files ( 18.0%)
   TSArrayType                              137 ( 0.16%) in     37 files ( 21.5%)
   TSTypeLiteral                            133 ( 0.15%) in     38 files ( 22.1%)
   LogicalExpression                        128 ( 0.15%) in     36 files ( 20.9%)
   ChainExpression                          100 ( 0.12%) in     33 files ( 19.2%)
   TSTypeQuery                               97 ( 0.11%) in     29 files ( 16.9%)
   ObjectPattern                             83 ( 0.10%) in     31 files ( 18.0%)
   ImportDefaultSpecifier                    76 ( 0.09%) in     54 files ( 31.4%)
   FunctionDeclaration                       76 ( 0.09%) in     45 files ( 26.2%)
   SpreadElement                             73 ( 0.08%) in     30 files ( 17.4%)
   TSUndefinedKeyword                        69 ( 0.08%) in     21 files ( 12.2%)
   TSTupleType                               69 ( 0.08%) in     26 files ( 15.1%)
   TSLiteralType                             69 ( 0.08%) in     27 files ( 15.7%)
   ConditionalExpression                     64 ( 0.07%) in     30 files ( 17.4%)
