AST Analysis Report for vitest
Generated on: 2025-07-14T02:08:28.508Z
Repository: sample-repos/vitest
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/vitest

📁 Found 1228 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1228
   Successfully parsed: 1228
   Failed to parse: 0
   Total file size: 3.1 MB

🌳 NODE STATISTICS:
   Total nodes: 427,805
   Average nodes per file: 348
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          1228 files (100.0%) -         1,228 total ( 0.29%)
       • packages/utils/src/display.ts
       • packages/runner/src/run.ts
       • packages/runner/src/context.ts
     📄 Files WITHOUT TSTupleType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSIntersectionType:
     📄 Files WITH TSIntersectionType (showing 10):
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/core/test/snapshot-custom-serializer.test.ts
       • test/core/test/fixture-initialization.test.ts
       • test/config/test/failures.test.ts
       • test/browser/specs/utils.ts
       • packages/vite-node/src/client.ts
       • packages/utils/src/types.ts
       • packages/utils/src/helpers.ts
       • packages/spy/src/index.ts
     📄 Files WITHOUT TSIntersectionType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ImportExpression:
     📄 Files WITH ImportExpression (showing 10):
       • packages/vite-node/vite-node.mjs
       • test/vite-node/src/testMod.ts
       • test/reporters/tests/utils.test.ts
       • test/core/src/relative-import.ts
       • test/core/src/dynamic-import.ts
       • test/core/test/write-file-dynamic-import.test.ts
       • test/core/test/web-worker-mock.test.ts
       • test/core/test/wasm.test.ts
       • test/core/test/vi.spec.ts
       • test/core/test/unmock-import.test.ts
     📄 Files WITHOUT ImportExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSTypeOperator:
     📄 Files WITH TSTypeOperator (showing 10):
       • packages/browser/matchers.d.ts
       • packages/browser/context.d.ts
       • packages/vite-node/src/source-map-handler.ts
       • packages/vite-node/src/cli.ts
       • packages/utils/src/types.ts
       • packages/utils/src/helpers.ts
       • packages/spy/src/index.ts
       • packages/runner/src/suite.ts
       • packages/runner/src/run.ts
       • packages/runner/src/collect.ts
     📄 Files WITHOUT TSTypeOperator (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSParameterProperty:
     📄 Files WITH TSParameterProperty (showing 10):
       • test/reporters/tests/test-run.test.ts
       • test/core/test/utils-display.spec.ts
       • test/core/test/jest-mock.test.ts
       • test/core/test/jest-expect.test.ts
       • packages/web-worker/src/runner.ts
       • packages/vite-node/src/server.ts
       • packages/vite-node/src/debug.ts
       • packages/vite-node/src/client.ts
       • packages/snapshot/src/manager.ts
       • packages/snapshot/src/client.ts
     📄 Files WITHOUT TSParameterProperty (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   Super:
     📄 Files WITH Super (showing 10):
       • test/core/test/snapshot-custom-serializer.test.ts
       • test/core/test/jest-mock.test.ts
       • test/core/test/jest-expect.test.ts
       • packages/web-worker/src/worker.ts
       • packages/web-worker/src/shared-worker.ts
       • packages/web-worker/src/runner.ts
       • packages/vite-node/src/client.ts
       • packages/runner/src/errors.ts
       • packages/pretty-format/src/index.ts
       • packages/expect/src/jest-extend.ts
     📄 Files WITHOUT Super (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSMethodSignature:
     📄 Files WITH TSMethodSignature (showing 8):
       • test/browser/setup.unit.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • packages/spy/src/index.ts
       • packages/browser/providers/playwright.d.ts
       • packages/vitest/src/types/global.ts
       • packages/vitest/src/integrations/vi.ts
       • packages/vitest/src/node/types/browser.ts
     📄 Files WITHOUT TSMethodSignature (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSInterfaceHeritage:
     📄 Files WITH TSInterfaceHeritage (showing 10):
       • test/test-utils/index.ts
       • packages/browser/matchers.d.ts
       • packages/browser/context.d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
       • test/core/test/jest-expect.test.ts
       • packages/vite-node/src/types.ts
       • packages/vite-node/src/source-map-handler.ts
       • packages/utils/src/types.ts
       • packages/utils/src/display.ts
       • packages/spy/src/index.ts
     📄 Files WITHOUT TSInterfaceHeritage (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSConditionalType:
     📄 Files WITH TSConditionalType (showing 10):
       • packages/browser/matchers.d.ts
       • test/reporters/tests/configuration-options.test-d.ts
       • test/coverage-test/test/configuration-options.test-d.ts
       • packages/vite-node/src/cli.ts
       • packages/utils/src/types.ts
       • packages/spy/src/index.ts
       • packages/runner/src/run.ts
       • packages/runner/src/context.ts
       • packages/expect/src/types.ts
       • packages/vite-node/src/hmr/hmr.ts
     📄 Files WITHOUT TSConditionalType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ImportNamespaceSpecifier:
     📄 Files WITH ImportNamespaceSpecifier (showing 10):
       • test/test-utils/index.ts
       • test/coverage-test/utils.ts
       • test/watch/test/file-watching.test.ts
       • test/core/src/exec.ts
       • test/core/test/spy.test.ts
       • test/core/test/named-overwrite-all.test.ts
       • test/core/test/module.test.ts
       • test/core/test/mocked.test.ts
       • test/core/test/hooks-stack.test.ts
       • test/core/test/hooks-parallel.test.ts
     📄 Files WITHOUT ImportNamespaceSpecifier (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSObjectKeyword:
     📄 Files WITH TSObjectKeyword (showing 10):
       • test/core/test/task-collector.test.ts
       • test/core/test/expect-poll.test.ts
       • packages/utils/src/types.ts
       • packages/utils/src/helpers.ts
       • packages/utils/src/display.ts
       • packages/spy/src/index.ts
       • packages/snapshot/src/client.ts
       • packages/runner/src/suite.ts
       • packages/runner/src/hooks.ts
       • packages/runner/src/fixture.ts
     📄 Files WITHOUT TSObjectKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ForStatement:
     📄 Files WITH ForStatement (showing 10):
       • scripts/explain-types.ts
       • test/reporters/tests/custom-reporter.spec.ts
       • test/core/test/mocked.test.ts
       • test/core/test/lot-of-tests.test.ts
       • packages/vite-node/src/source-map-handler.ts
       • packages/utils/src/offset.ts
       • packages/utils/src/display.ts
       • packages/runner/src/suite.ts
       • packages/runner/src/run.ts
       • packages/runner/src/fixture.ts
     📄 Files WITHOUT ForStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSNamedTupleMember:
     📄 Files WITH TSNamedTupleMember (showing 10):
       • packages/browser/jest-dom.d.ts
       • test/core/test/vi.spec.ts
       • packages/vite-node/src/client.ts
       • packages/expect/src/jest-expect.ts
       • packages/vitest/src/runtime/execute.ts
       • packages/vitest/src/node/pool.ts
       • packages/ui/client/composables/navigation.ts
       • packages/runner/src/utils/limit-concurrency.ts
       • packages/runner/src/types/tasks.ts
       • packages/mocker/src/node/esmWalker.ts
     📄 Files WITHOUT TSNamedTupleMember (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ContinueStatement:
     📄 Files WITH ContinueStatement (showing 10):
       • scripts/explain-types.ts
       • test/config/test/failures.test.ts
       • packages/vite-node/src/client.ts
       • packages/utils/src/helpers.ts
       • packages/runner/src/run.ts
       • packages/runner/src/fixture.ts
       • packages/mocker/src/automocker.ts
       • packages/vitest/src/node/watcher.ts
       • packages/vitest/src/node/project.ts
       • packages/vitest/src/node/printError.ts
     📄 Files WITHOUT ContinueStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TaggedTemplateExpression:
     📄 Files WITH TaggedTemplateExpression (showing 10):
       • scripts/release.ts
       • scripts/publish-ci.ts
       • test/watch/test/config-watching.test.ts
       • test/reporters/tests/test-run.test.ts
       • test/cli/test/fails.test.ts
       • test/core/test/utils.spec.ts
       • test/core/test/test-for.test.ts
       • test/core/test/test-for-suite.test.ts
       • test/core/test/snapshot-inline.test.ts
       • test/core/test/each.test.ts
     📄 Files WITHOUT TaggedTemplateExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   TSNeverKeyword:
     📄 Files WITH TSNeverKeyword (showing 10):
       • test/test-utils/index.ts
       • test/reporters/tests/configuration-options.test-d.ts
       • test/core/test/vi.test-d.ts
       • test/coverage-test/test/configuration-options.test-d.ts
       • packages/utils/src/types.ts
       • packages/vitest/src/defaults.ts
       • packages/spy/src/index.ts
       • packages/runner/src/run.ts
       • packages/runner/src/context.ts
       • packages/runner/src/collect.ts
     📄 Files WITHOUT TSNeverKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   BreakStatement:
     📄 Files WITH BreakStatement (showing 10):
       • test/reporters/tests/test-run.test.ts
       • packages/vite-node/src/utils.ts
       • packages/utils/src/offset.ts
       • packages/runner/src/run.ts
       • packages/pretty-format/src/collections.ts
       • packages/mocker/src/automocker.ts
       • packages/expect/src/jest-utils.ts
       • packages/expect/src/jest-asymmetric-matchers.ts
       • packages/vite-node/src/hmr/hmr.ts
       • packages/utils/src/diff/getAlignedDiffs.ts
     📄 Files WITHOUT BreakStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ExportAllDeclaration:
     📄 Files WITH ExportAllDeclaration (showing 10):
       • packages/web-worker/pure.d.ts
       • packages/utils/source-map.ts
       • packages/utils/helpers.d.ts
       • packages/utils/error.d.ts
       • packages/utils/diff.d.ts
       • packages/vitest/workers.d.ts
       • packages/vitest/utils.d.ts
       • packages/vitest/suite.d.ts
       • packages/vitest/snapshot.d.ts
       • packages/vitest/runners.d.ts
     📄 Files WITHOUT ExportAllDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   WhileStatement:
     📄 Files WITH WhileStatement (showing 10):
       • test/reporters/tests/test-run.test.ts
       • test/browser/test/viewport.test.ts
       • packages/vite-node/src/utils.ts
       • packages/vite-node/src/source-map.ts
       • packages/vite-node/src/source-map-handler.ts
       • packages/vite-node/src/cli.ts
       • packages/utils/src/random.ts
       • packages/utils/src/nanoid.ts
       • packages/utils/src/helpers.ts
       • packages/utils/src/error.ts
     📄 Files WITHOUT WhileStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSSymbolKeyword:
     📄 Files WITH TSSymbolKeyword (showing 10):
       • packages/vite-node/src/client.ts
       • packages/utils/src/helpers.ts
       • packages/spy/src/index.ts
       • packages/pretty-format/src/index.ts
       • packages/pretty-format/src/collections.ts
       • packages/mocker/src/registry.ts
       • packages/mocker/src/automocker.ts
       • packages/expect/src/jest-utils.ts
       • packages/expect/src/jest-asymmetric-matchers.ts
       • packages/expect/src/constants.ts
     📄 Files WITHOUT TSSymbolKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSCallSignatureDeclaration:
     📄 Files WITH TSCallSignatureDeclaration (showing 10):
       • test/core/test/vi.spec.ts
       • test/core/test/jest-mock.test.ts
       • packages/utils/src/timers.ts
       • packages/spy/src/index.ts
       • packages/expect/src/types.ts
       • packages/vitest/src/types/global.ts
       • packages/vitest/src/typecheck/assertType.ts
       • packages/runner/src/types/tasks.ts
       • packages/mocker/src/node/hoistMocksPlugin.ts
       • packages/vitest/src/runtime/vm/types.ts
     📄 Files WITHOUT TSCallSignatureDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSSatisfiesExpression:
     📄 Files WITH TSSatisfiesExpression (showing 10):
       • test/reporters/tests/console.test.ts
       • test/core/test/jest-expect.test.ts
       • test/config/test/get-state.test.ts
       • packages/runner/src/collect.ts
       • packages/pretty-format/src/index.ts
       • packages/expect/src/utils.ts
       • packages/expect/src/jest-expect.ts
       • test/cli/deps/linked/index.ts
       • packages/utils/src/diff/index.ts
       • packages/vitest/src/typecheck/typechecker.ts
     📄 Files WITHOUT TSSatisfiesExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSTypePredicate:
     📄 Files WITH TSTypePredicate (showing 10):
       • test/test-utils/cli.ts
       • test/core/test/expect.test.ts
       • packages/utils/src/helpers.ts
       • packages/spy/src/index.ts
       • packages/pretty-format/src/index.ts
       • packages/pretty-format/src/collections.ts
       • packages/expect/src/jest-utils.ts
       • packages/vitest/src/node/state.ts
       • packages/vitest/src/node/coverage.ts
       • packages/vitest/src/node/core.ts
     📄 Files WITHOUT TSTypePredicate (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSModuleDeclaration:
     📄 Files WITH TSModuleDeclaration (showing 10):
       • test/workspaces/globalTest.ts
       • test/browser/setup.unit.ts
       • packages/vitest/jsdom.d.ts
       • packages/vitest/globals.d.ts
       • packages/browser/matchers.d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
       • test/workspaces/space_shared/test.spec.ts
       • test/core/types/vite.d.ts
       • test/core/test/stubs.test.ts
       • test/core/test/jest-expect.test.ts
     📄 Files WITHOUT TSModuleDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSModuleBlock:
     📄 Files WITH TSModuleBlock (showing 10):
       • test/workspaces/globalTest.ts
       • test/browser/setup.unit.ts
       • packages/vitest/jsdom.d.ts
       • packages/vitest/globals.d.ts
       • packages/browser/matchers.d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
       • test/workspaces/space_shared/test.spec.ts
       • test/core/types/vite.d.ts
       • test/core/test/stubs.test.ts
       • test/core/test/jest-expect.test.ts
     📄 Files WITHOUT TSModuleBlock (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ForInStatement:
     📄 Files WITH ForInStatement (showing 10):
       • scripts/explain-types.ts
       • test/test-utils/index.ts
       • packages/vite-node/src/client.ts
       • packages/vite-node/src/cli.ts
       • packages/runner/src/fixture.ts
       • packages/runner/src/collect.ts
       • packages/expect/src/jest-utils.ts
       • packages/expect/src/jest-expect.ts
       • packages/coverage-istanbul/src/index.ts
       • packages/vitest/src/runtime/setup-common.ts
     📄 Files WITHOUT ForInStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   SwitchStatement:
     📄 Files WITH SwitchStatement (showing 10):
       • docs/pwa-assets.config.ts
       • packages/utils/src/display.ts
       • packages/expect/src/jest-utils.ts
       • packages/vite-node/src/hmr/hmr.ts
       • packages/utils/src/diff/joinAlignedDiffs.ts
       • packages/utils/src/diff/index.ts
       • packages/utils/src/diff/getAlignedDiffs.ts
       • packages/utils/src/diff/diffLines.ts
       • packages/utils/src/diff/cleanupSemantic.ts
       • packages/vitest/src/runtime/external-executor.ts
     📄 Files WITHOUT SwitchStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSClassImplements:
     📄 Files WITH TSClassImplements (showing 10):
       • test/reporters/tests/test-run.test.ts
       • test/reporters/src/custom-reporter.ts
       • test/cli/test/signal.test.ts
       • packages/ui/node/reporter.ts
       • packages/coverage-v8/src/provider.ts
       • packages/expect/src/jest-asymmetric-matchers.ts
       • packages/coverage-istanbul/src/provider.ts
       • packages/vitest/src/api/setup.ts
       • packages/snapshot/src/env/node.ts
       • packages/mocker/src/browser/interceptor-native.ts
     📄 Files WITHOUT TSClassImplements (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   JSXIdentifier:
     📄 Files WITH JSXIdentifier (showing 5):
       • test/core/test/snapshot-react.test.jsx
       • test/core/test/snapshot-react-18.test.jsx
       • test/browser/src/blog-app/blog.tsx
       • examples/projects/packages/client/test/basic.test.tsx
       • examples/projects/packages/client/components/Link.tsx
     📄 Files WITHOUT JSXIdentifier (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   YieldExpression:
     📄 Files WITH YieldExpression (showing 7):
       • test/core/test/expect.test.ts
       • packages/vitest/src/node/spec.ts
       • packages/vitest/src/node/reporters/reported-tasks.ts
       • packages/ui/client/composables/explorer/filter.ts
       • packages/ui/client/composables/explorer/expand.ts
       • packages/ui/client/composables/explorer/collector.ts
       • packages/ui/client/composables/explorer/collapse.ts
     📄 Files WITHOUT YieldExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSMappedType:
     📄 Files WITH TSMappedType (showing 10):
       • packages/browser/matchers.d.ts
       • packages/browser/context.d.ts
       • packages/vite-node/src/cli.ts
       • packages/utils/src/types.ts
       • packages/spy/src/index.ts
       • packages/expect/src/types.ts
       • packages/vitest/src/types/global.ts
       • packages/vitest/src/typecheck/types.ts
       • packages/runner/src/utils/chain.ts
       • packages/runner/src/types/tasks.ts
     📄 Files WITHOUT TSMappedType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSEmptyBodyFunctionExpression:
     📄 Files WITH TSEmptyBodyFunctionExpression (showing 8):
       • test/core/test/vi.spec.ts
       • test/core/test/jest-mock.test.ts
       • packages/mocker/src/registry.ts
       • packages/expect/src/jest-expect.ts
       • packages/expect/src/jest-asymmetric-matchers.ts
       • packages/vitest/src/runtime/vm/types.ts
       • packages/vitest/src/integrations/mock/date.ts
       • packages/browser/src/client/tester/locators/index.ts
     📄 Files WITHOUT TSEmptyBodyFunctionExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   PrivateIdentifier:
     📄 Files WITH PrivateIdentifier (showing 3):
       • packages/vitest/src/runtime/external-executor.ts
       • packages/vitest/src/runtime/vm/esm-executor.ts
       • packages/vitest/src/node/reporters/reported-tasks.ts
     📄 Files WITHOUT PrivateIdentifier (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSDeclareFunction:
     📄 Files WITH TSDeclareFunction (showing 10):
       • test/workspaces/cwdPlugin.d.ts
       • packages/browser/utils.d.ts
       • test/browser/cjs-lib/lib.d.ts
       • packages/spy/src/index.ts
       • test/core/src/cjs/default-function.d.ts
       • test/browser/bundled-lib/src/index.d.ts
       • packages/vite-node/src/hmr/hmr.ts
       • packages/vitest/src/public/config.ts
       • test/core/src/wasm/wasm-bindgen-no-cyclic/index_bg.wasm.d.ts
       • test/core/src/wasm/wasm-bindgen-no-cyclic/index.d.ts
     📄 Files WITHOUT TSDeclareFunction (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSThisType:
     📄 Files WITH TSThisType (showing 4):
       • packages/vite-node/src/client.ts
       • packages/spy/src/index.ts
       • packages/browser/providers/playwright.d.ts
       • packages/vitest/src/node/watcher.ts
     📄 Files WITHOUT TSThisType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSBigIntKeyword:
     📄 Files WITH TSBigIntKeyword (showing 4):
       • packages/pretty-format/src/index.ts
       • packages/expect/src/types.ts
       • packages/expect/src/jest-expect.ts
       • examples/profiling/src/prime-number.ts
     📄 Files WITHOUT TSBigIntKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSInferType:
     📄 Files WITH TSInferType (showing 9):
       • packages/browser/matchers.d.ts
       • packages/utils/src/types.ts
       • packages/spy/src/index.ts
       • packages/runner/src/run.ts
       • packages/runner/src/context.ts
       • packages/expect/src/types.ts
       • packages/vitest/src/types/general.ts
       • packages/runner/src/types/tasks.ts
       • packages/vitest/src/node/cli/cli-api.ts
     📄 Files WITHOUT TSInferType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ClassExpression:
     📄 Files WITH ClassExpression (showing 10):
       • test/reporters/tests/verbose.test.ts
       • test/reporters/tests/test-run.test.ts
       • test/reporters/tests/default.test.ts
       • test/core/test/utils-display.spec.ts
       • test/core/test/serialize.test.ts
       • test/core/test/jest-mock.test.ts
