AST Analysis Report for rollup
Generated on: 2025-07-14T01:42:30.122Z
Repository: sample-repos/rollup
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/rollup

📁 Found 12147 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 12147
   Successfully parsed: 12147
   Failed to parse: 0
   Total file size: 9.2 MB

🌳 NODE STATISTICS:
   Total nodes: 1,241,523
   Average nodes per file: 102
   Average file size: 791.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        12147 files (100.0%) -   12,147 total (0.98%)
   Literal                        11765 files ( 96.9%) -  103,007 total (8.30%)
   Identifier                     11627 files ( 95.7%) -  419,254 total (33.77%)
   ExpressionStatement            9837 files ( 81.0%) -   73,764 total (5.94%)
   MemberExpression               9589 files ( 78.9%) -  131,719 total (10.61%)
   CallExpression                 9499 files ( 78.2%) -   72,356 total (5.83%)
   BlockStatement                 5843 files ( 48.1%) -   37,730 total (3.04%)
   VariableDeclaration            5774 files ( 47.5%) -   26,736 total (2.15%)
   VariableDeclarator             5774 files ( 47.5%) -   29,024 total (2.34%)
   ExportAllDeclaration                247 (0.02%) in 177 files (1.5%)
   TSNonNullExpression                 238 (0.02%) in 64 files (0.5%)
   TSFunctionType                      229 (0.02%) in 56 files (0.5%)
   TSTypeLiteral                       209 (0.02%) in 58 files (0.5%)
   TSTypeOperator                      178 (0.01%) in 74 files (0.6%)
   Super                               167 (0.01%) in 96 files (0.8%)
   TSInterfaceDeclaration              158 (0.01%) in 48 files (0.4%)
   TSInterfaceBody                     158 (0.01%) in 48 files (0.4%)
   MetaProperty                        153 (0.01%) in 89 files (0.7%)
   TSUndefinedKeyword                  139 (0.01%) in 47 files (0.4%)
   TSAnyKeyword                        138 (0.01%) in 41 files (0.3%)
   RestElement                         136 (0.01%) in 66 files (0.5%)
   ForInStatement                      127 (0.01%) in 84 files (0.7%)
   ContinueStatement                   108 (0.01%) in 35 files (0.3%)
   TSNamedTupleMember                  101 (0.01%) in 35 files (0.3%)
   TSUnknownKeyword                     92 (0.01%) in 40 files (0.3%)
   ImportAttribute                      88 (0.01%) in 17 files (0.1%)
   ClassExpression                      87 (0.01%) in 70 files (0.6%)
   TSTupleType                          86 (0.01%) in 47 files (0.4%)
   DoWhileStatement                     86 (0.01%) in 31 files (0.3%)
   TSIndexedAccessType                  86 (0.01%) in 19 files (0.2%)
   TSTypeParameter                      85 (0.01%) in 24 files (0.2%)
   TSMethodSignature                    74 (0.01%) in 10 files (0.1%)
   TSTypeParameterDeclaration           74 (0.01%) in 24 files (0.2%)
   TSParenthesizedType                  72 (0.01%) in 33 files (0.3%)
   LabeledStatement                     68 (0.01%) in 21 files (0.2%)
   EmptyStatement                       57 (0.00%) in 50 files (0.4%)
   TSIntersectionType                   55 (0.00%) in 19 files (0.2%)
   TSParameterProperty                  53 (0.00%) in 19 files (0.2%)
   TSInterfaceHeritage                  47 (0.00%) in 9 files (0.1%)
   Decorator                            42 (0.00%) in 13 files (0.1%)
   TSTypeQuery                          40 (0.00%) in 24 files (0.2%)
   TSEnumMember                         38 (0.00%) in 4 files (0.0%)
   StaticBlock                          35 (0.00%) in 15 files (0.1%)
   TSDeclareFunction                    31 (0.00%) in 15 files (0.1%)
   Hashbang                             30 (0.00%) in 30 files (0.2%)
   PrivateIdentifier                    28 (0.00%) in 5 files (0.0%)
   TSNeverKeyword                       26 (0.00%) in 17 files (0.1%)
   TSClassImplements                    25 (0.00%) in 21 files (0.2%)
   TSThisType                           24 (0.00%) in 15 files (0.1%)
   TaggedTemplateExpression             21 (0.00%) in 9 files (0.1%)
   YieldExpression                      19 (0.00%) in 9 files (0.1%)
   TSBigIntKeyword                      19 (0.00%) in 2 files (0.0%)
   TSTypePredicate                      18 (0.00%) in 7 files (0.1%)
   TSModuleDeclaration                  17 (0.00%) in 13 files (0.1%)
   TSModuleBlock                        17 (0.00%) in 13 files (0.1%)
   TSIndexSignature                     14 (0.00%) in 8 files (0.1%)
   DebuggerStatement                    10 (0.00%) in 8 files (0.1%)
   TSMappedType                          8 (0.00%) in 4 files (0.0%)
   TSConditionalType                     8 (0.00%) in 3 files (0.0%)
   TSEmptyBodyFunctionExpression         7 (0.00%) in 4 files (0.0%)
   TSObjectKeyword                       7 (0.00%) in 5 files (0.0%)
   TSInstantiationExpression             7 (0.00%) in 3 files (0.0%)
   TSEnumDeclaration                     4 (0.00%) in 4 files (0.0%)
   TSEnumBody                            4 (0.00%) in 4 files (0.0%)
   TSInferType                           3 (0.00%) in 1 files (0.0%)
   TSRestType                            3 (0.00%) in 3 files (0.0%)
   TSCallSignatureDeclaration            3 (0.00%) in 1 files (0.0%)
   TSAbstractMethodDefinition            2 (0.00%) in 2 files (0.0%)
   TSSymbolKeyword                       1 (0.00%) in 1 files (0.0%)
   TSTemplateLiteralType                 1 (0.00%) in 1 files (0.0%)
   TSSatisfiesExpression                 1 (0.00%) in 1 files (0.0%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • rollup.config.ts
       • native.wasm.js
       • native.js
       • native.d.ts
       • eslint.config.mjs
       • wasm/bindings_wasm_bg.wasm.d.ts
       • wasm/bindings_wasm.d.ts
       • scripts/update-snapshots.js
